AAL
AAPL
ADBE
ADI
ADP
ADSK
AEO
AKAM
ALTR
ALXN
AMAT
AMGN
AMLN
AMZN
APCC
APOL
ATVI
ATYT
AVGO
BBBY
BBRY
BEAS
BIDU
BIIB
BMC
BMET
BMRN
BRCM
CA
CDNS
CDWC
CELG
CEPH
CERN
CHIR
CHKP
CHRW
CHTR
CKFR
CMCSA
CMVT
COST
CSCO
CSX
CTAS
CTRP
CTRX
CTSH
CTXS
DELL
DISCA
DISH
DLTR
DTV
EA
EBAY
EQIX
ERIC
ESRX
EXPD
EXPE
FAST
FB
FFIV
FISV
FLEX
FLIR
FMCN
FOSL
FOXA
FSLR
FWLT
GENZ
GILD
GMCR
GOLD
GOOGL
GRMN
HOLX
HSIC
IACI
ILMN
INCY
INFY
INTC
INTU
ISRG
JAVA
JBHT
JD
JDSU
JNPR
JOY
KLAC
KRFT
LAMR
LBTYA
LEAP
LIFE
LLTC
LMCA
LNCR
LOGI
LRCX
LVLT
MAR
MAT
MCHP
MCIP
MDLZ
MEDI
MERQ
MICC
MNST
MRVL
MSFT
MU
MWW
MXIM
MYL
NFLX
NIHD
NTAP
NTES
NUAN
NVDA
NXPI
ORCL
ORLY
PAYX
PCAR
PCLN
PDCO
PETM
PIXR
PPDI
PRGO
PTEN
PYPL
QCOM
QGEN
QVCA
REGN
RHT
ROST
RYAAY
SBAC
SBUX
SEBL
SEPR
SHLD
SIAL
SIRI
SNDK
SPLS
SRCL
STLD
STRZA
STX
SYMC
TEVA
TLAB
TRIP
TSCO
TSLA
TXN
UAL
URBN
VIAB
VIP
VMED
VOD
VRSK
VRSN
VRTX
WCRX
WDC
WFM
WYNN
XLNX
XMSR
XRAY
YHOO
