NUAN
ADP
DTV
CA
AAL
BMC
ILMN
ATYT
COST
AMGN
AAPL
LVLT
FLIR
ADSK
BBBY
ADBE
MXIM
ALXN
NFLX
AMZN
DISH
ADI
FFIV
AEO
AKAM
CTSH
ALTR
AMAT
CDWC
ORCL
CEPH
ROST
CMVT
CHIR
CMCSA
APOL
ATVI
CTXS
AVGO
RYAAY
BBRY
ESRX
BEAS
BIDU
BIIB
CTAS
BMET
BMRN
FMCN
CDNS
CELG
CERN
EXPE
CHKP
CHRW
EA
CHTR
EQIX
CKFR
DLTR
CTRP
DISCA
CTRX
CSCO
ERIC
FLEX
FAST
EBAY
KRFT
URBN
FB
FISV
FOSL
FOXA
FSLR
QCOM
FWLT
GILD
TLAB
GOLD
GMCR
GOOGL
GENZ
MAT
GRMN
LAMR
HOLX
HSIC
IACI
INFY
INTC
INTU
ISRG
JAVA
JD
JNPR
JOY
JDSU
KLAC
NTES
LBTYA
LRCX
LOGI
MAR
MCHP
CSX
MDLZ
MEDI
MICC
MNST
VIAB
MRVL
MSFT
MU
MWW
MYL
NIHD
NTAP
NVDA
NXPI
YHOO
ORLY
PAYX
PCAR
PCLN
PDCO
PETM
PPDI
XLNX
PRGO
PTEN
QVCA
REGN
STLD
RHT
SBAC
SBUX
SHLD
SEPR
SIAL
SIRI
SPLS
SRCL
SNDK
STRZA
STX
SYMC
VIP
TEVA
TRIP
TSCO
WDC
TSLA
TXN
UAL
VMED
VOD
VRSK
VRSN
VRTX
WCRX
WFM
WYNN
XRAY
INCY
PYPL
DELL
QGEN
LMCA
LLTC
