SBSI
LATEST_ANNOUNCEMENT_DT
10/26/1998
1/29/1999
4/22/1999
7/15/1999
10/19/1999
1/21/2000
4/20/2000
7/21/2000
10/20/2000
1/24/2001
4/19/2001
7/19/2001
10/17/2001
1/18/2002
4/18/2002
7/22/2002
10/18/2002
1/23/2003
4/17/2003
7/18/2003
10/23/2003
1/22/2004
4/15/2004
7/22/2004
10/28/2004
1/27/2005
4/21/2005
8/2/2005
11/2/2005
2/2/2006
4/20/2006
8/2/2006
11/1/2006
1/25/2007
4/19/2007
8/6/2007
11/8/2007
2/1/2008
4/17/2008
7/25/2008
10/27/2008
1/29/2009
4/16/2009
7/23/2009
10/29/2009
1/28/2010
4/15/2010
7/22/2010
10/28/2010
1/27/2011
4/21/2011
7/21/2011
10/27/2011
1/26/2012
5/3/2012
7/27/2012
10/25/2012
1/31/2013
4/18/2013
7/25/2013
10/24/2013
2/10/2014
5/1/2014
7/24/2014
10/24/2014
3/2/2015
4/30/2015
7/23/2015
10/30/2015
1/29/2016
04/29/2016
07/29/2016
10/28/2016
01/27/2017
05/05/2017
