CNQR
LATEST_ANNOUNCEMENT_DT
2/16/1999
4/21/1999
7/21/1999
12/29/1999
1/19/2000
4/26/2000
7/26/2000
11/15/2000
1/24/2001
4/25/2001
7/25/2001
11/14/2001
1/23/2002
4/24/2002
7/31/2002
11/13/2002
1/22/2003
4/23/2003
8/14/2003
11/10/2003
1/28/2004
4/28/2004
7/28/2004
11/8/2004
1/26/2005
4/27/2005
7/27/2005
11/9/2005
1/25/2006
4/26/2006
7/26/2006
12/4/2006
1/31/2007
5/2/2007
8/1/2007
11/19/2007
1/30/2008
4/30/2008
7/30/2008
11/11/2008
2/4/2009
4/29/2009
8/5/2009
11/17/2009
2/3/2010
5/3/2010
7/28/2010
11/10/2010
2/2/2011
5/3/2011
7/27/2011
11/15/2011
2/1/2012
5/2/2012
8/1/2012
11/7/2012
1/30/2013
5/1/2013
7/31/2013
11/6/2013
1/29/2014
4/29/2014
8/4/2014
11/18/2014
