SJK
LATEST_ANNOUNCEMENT_DT
6/6/1996
9/4/1996
12/19/1996
3/4/1997
6/6/1997
9/9/1997
12/18/1997
3/3/1998
6/9/1998
9/10/1998
12/17/1998
3/12/1999
6/9/1999
9/14/1999
