TASR
LATEST_ANNOUNCEMENT_DT
7/5/2006
6/21/2001
8/13/2001
10/22/2001
2/11/2002
4/22/2002
7/22/2002
10/21/2002
2/3/2003
4/21/2003
7/21/2003
10/20/2003
2/2/2004
4/20/2004
7/20/2004
10/19/2004
2/28/2005
4/19/2005
7/20/2005
10/26/2005
2/22/2006
4/26/2006
7/26/2006
10/25/2006
2/21/2007
4/25/2007
7/23/2007
10/24/2007
2/14/2008
4/24/2008
7/24/2008
10/28/2008
2/24/2009
4/23/2009
7/29/2009
10/22/2009
2/19/2010
4/23/2010
7/27/2010
10/27/2010
2/23/2011
4/21/2011
7/28/2011
10/31/2011
2/23/2012
4/26/2012
7/26/2012
10/26/2012
2/21/2013
4/25/2013
7/31/2013
10/30/2013
2/26/2014
4/30/2014
7/30/2014
10/30/2014
2/26/2015
4/30/2015
7/30/2015
11/3/2015
2/29/2016
05/04/2016
08/04/2016
11/09/2016
02/28/2017
05/03/2017
