BRKT
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/18/1996
6/18/2006
2/5/1997
4/15/1997
7/31/1997
10/30/1997
2/5/1998
4/16/1998
8/12/1998
10/15/1998
2/11/1999
4/14/1999
7/21/1999
10/21/1999
2/3/2000
4/18/2000
7/20/2000
10/26/2000
2/8/2001
4/17/2001
7/18/2001
10/17/2001
2/6/2002
4/17/2002
7/17/2002
10/16/2002
2/12/2003
4/16/2003
7/16/2003
10/16/2003
2/17/2004
4/21/2004
7/21/2004
10/20/2004
2/17/2005
4/21/2005
7/26/2005
