DXYN
LATEST_ANNOUNCEMENT_DT
5/2/1996
8/1/1996
10/30/1996
2/20/1997
5/1/1997
7/31/1997
10/28/1997
2/19/1998
4/30/1998
7/30/1998
10/28/1998
2/17/1999
4/29/1999
7/29/1999
10/27/1999
2/15/2000
5/3/2000
8/3/2000
11/10/2000
2/14/2001
5/1/2001
8/2/2001
10/30/2001
2/12/2002
5/2/2002
7/31/2002
10/23/2002
2/20/2003
4/29/2003
7/30/2003
11/12/2003
2/17/2004
4/29/2004
7/28/2004
10/28/2004
2/24/2005
4/28/2005
8/1/2005
10/26/2005
3/2/2006
5/2/2006
8/1/2006
11/7/2006
2/27/2007
4/30/2007
7/31/2007
10/30/2007
2/26/2008
4/29/2008
8/5/2008
10/28/2008
2/25/2009
4/30/2009
7/29/2009
10/27/2009
2/24/2010
4/28/2010
7/28/2010
11/3/2010
3/9/2011
5/12/2011
8/4/2011
11/4/2011
3/8/2012
5/7/2012
8/2/2012
11/9/2012
2/20/2013
5/1/2013
7/31/2013
10/30/2013
2/19/2014
4/30/2014
7/28/2014
10/29/2014
2/18/2015
4/29/2015
7/29/2015
10/29/2015
2/24/2016
