XRIT
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/17/1996
10/16/1996
1/29/1997
4/23/1997
7/23/1997
10/22/1997
1/30/1998
4/22/1998
7/23/1998
10/22/1998
1/28/1999
4/21/1999
7/22/1999
10/20/1999
1/27/2000
4/20/2000
7/20/2000
10/19/2000
1/31/2001
4/19/2001
7/20/2001
10/18/2001
1/30/2002
4/18/2002
7/18/2002
10/18/2002
1/30/2003
4/17/2003
7/17/2003
10/16/2003
2/5/2004
4/22/2004
7/22/2004
10/21/2004
2/3/2005
4/21/2005
7/21/2005
10/20/2005
2/16/2006
4/20/2006
8/1/2006
11/7/2006
3/6/2007
5/8/2007
8/7/2007
11/6/2007
3/4/2008
5/6/2008
8/6/2008
11/6/2008
3/17/2009
5/14/2009
8/13/2009
11/12/2009
3/18/2010
5/13/2010
8/11/2010
11/9/2010
3/1/2011
5/5/2011
8/4/2011
11/3/2011
3/13/2012
5/10/2012
