NAUT
LATEST_ANNOUNCEMENT_DT
4/18/1996
6/27/1996
9/27/1996
1/3/1997
4/16/1997
6/26/1997
9/23/1997
1/7/1998
4/16/1998
6/30/1998
9/29/1998
1/7/1999
4/21/1999
6/30/1999
9/28/1999
1/5/2000
4/27/2000
6/27/2000
10/4/2000
1/10/2001
4/24/2001
7/17/2001
10/15/2001
1/11/2002
4/26/2002
7/9/2002
10/9/2002
1/10/2003
5/1/2003
7/15/2003
