MGLHQ
LATEST_ANNOUNCEMENT_DT
5/1/1996
8/5/1996
11/15/1996
2/5/1997
5/6/1997
8/6/1997
11/17/1997
2/17/1998
5/13/1998
8/6/1998
12/3/1998
2/10/1999
5/5/1999
8/3/1999
11/30/1999
2/8/2000
5/11/2000
8/14/2000
12/12/2000
2/1/2001
5/11/2001
8/2/2001
12/11/2001
5/14/2002
8/13/2002
1/14/2003
2/14/2003
8/19/2003
8/19/2003
11/19/2003
3/30/2004
10/27/2010
10/27/2010
7/25/2013
10/24/2013
