MLHR
LATEST_ANNOUNCEMENT_DT
7/7/1993
9/29/1993
12/21/1993
3/16/1994
7/6/1994
9/28/1994
12/29/1994
3/24/1995
7/11/1995
10/5/1995
1/9/1996
3/25/1996
7/9/1996
10/2/1996
12/19/1996
3/24/1997
7/8/1997
10/1/1997
12/17/1997
3/16/1998
6/30/1998
9/16/1998
12/16/1998
3/17/1999
6/30/1999
9/22/1999
12/21/1999
3/21/2000
6/29/2000
9/20/2000
12/19/2000
3/20/2001
6/27/2001
9/24/2001
12/19/2001
3/20/2002
7/1/2002
9/18/2002
12/18/2002
3/19/2003
6/25/2003
9/17/2003
12/17/2003
3/17/2004
6/23/2004
9/15/2004
12/15/2004
3/16/2005
6/22/2005
9/21/2005
12/21/2005
3/22/2006
6/28/2006
9/21/2006
12/20/2006
3/21/2007
6/27/2007
9/19/2007
12/19/2007
3/19/2008
6/25/2008
9/17/2008
12/17/2008
3/18/2009
6/24/2009
9/16/2009
12/16/2009
3/17/2010
6/23/2010
9/16/2010
12/15/2010
3/16/2011
6/22/2011
9/21/2011
12/22/2011
3/22/2012
6/27/2012
9/19/2012
12/19/2012
3/20/2013
6/26/2013
9/18/2013
12/18/2013
3/19/2014
6/25/2014
9/17/2014
12/17/2014
3/18/2015
6/24/2015
9/16/2015
12/16/2015
03/16/2016
06/22/2016
09/21/2016
12/21/2016
03/22/2017
