CASC
LATEST_ANNOUNCEMENT_DT
5/30/1996
8/28/1996
12/3/1996
3/19/1997
6/2/1997
9/2/1997
12/4/1997
3/24/1998
6/11/1998
9/9/1998
12/4/1998
3/24/1999
6/10/1999
9/9/1999
12/9/1999
3/30/2000
6/14/2000
9/7/2000
12/14/2000
3/26/2001
6/14/2001
9/6/2001
11/29/2001
4/2/2002
6/6/2002
9/3/2002
12/4/2002
3/27/2003
5/28/2003
8/26/2003
12/10/2003
3/24/2004
5/27/2004
8/26/2004
12/9/2004
4/14/2005
6/9/2005
9/8/2005
12/6/2005
4/13/2006
6/7/2006
9/7/2006
12/7/2006
4/9/2007
6/7/2007
9/6/2007
12/6/2007
4/3/2008
6/5/2008
9/4/2008
12/4/2008
4/2/2009
6/4/2009
9/3/2009
12/2/2009
3/31/2010
6/7/2010
9/2/2010
12/2/2010
3/31/2011
6/2/2011
9/1/2011
12/1/2011
3/29/2012
6/7/2012
8/30/2012
11/28/2012
3/25/2013
