MTD
LATEST_ANNOUNCEMENT_DT
2/10/1998
4/23/1998
7/23/1998
11/16/1998
2/4/1999
4/22/1999
7/22/1999
11/4/1999
2/3/2000
4/27/2000
7/27/2000
11/2/2000
2/8/2001
4/26/2001
7/26/2001
11/1/2001
2/7/2002
4/24/2002
7/16/2002
11/7/2002
2/6/2003
4/24/2003
7/24/2003
10/30/2003
2/5/2004
4/29/2004
8/9/2004
11/4/2004
2/9/2005
5/3/2005
7/28/2005
11/3/2005
2/10/2006
5/3/2006
7/27/2006
11/2/2006
2/8/2007
4/26/2007
7/26/2007
11/1/2007
2/7/2008
4/24/2008
7/24/2008
11/6/2008
2/5/2009
4/30/2009
7/23/2009
10/29/2009
2/4/2010
4/29/2010
7/22/2010
11/4/2010
2/10/2011
5/4/2011
7/28/2011
11/3/2011
2/8/2012
5/3/2012
7/26/2012
11/1/2012
2/6/2013
5/2/2013
7/25/2013
11/7/2013
2/5/2014
5/8/2014
7/24/2014
11/6/2014
2/5/2015
5/7/2015
7/30/2015
11/05/2015
02/04/2016
05/05/2016
07/28/2016
11/03/2016
02/02/2017
05/04/2017
