ARXX
LATEST_ANNOUNCEMENT_DT
5/10/1996
8/13/1996
10/21/1996
2/5/1997
5/9/1997
8/14/1997
10/28/1997
2/4/1998
4/29/1998
8/12/1998
10/28/1998
2/3/1999
4/21/1999
8/11/1999
10/21/1999
2/2/2000
4/18/2000
8/15/2000
10/24/2000
1/31/2001
5/2/2001
8/13/2001
10/30/2001
2/11/2002
4/24/2002
8/12/2002
11/7/2002
2/6/2003
5/7/2003
8/13/2003
11/6/2003
2/9/2004
5/12/2004
8/11/2004
11/8/2004
2/7/2005
5/3/2005
8/16/2005
11/3/2005
2/7/2006
5/10/2006
8/16/2006
11/2/2006
2/5/2007
5/7/2007
2/17/2009
5/14/2009
9/2/2009
11/9/2009
2/11/2010
5/12/2010
9/2/2010
11/9/2010
2/9/2011
5/10/2011
