HSIC
LATEST_ANNOUNCEMENT_DT
5/6/1996
8/5/1996
11/4/1996
2/26/1997
5/5/1997
8/4/1997
11/3/1997
3/2/1998
5/4/1998
8/3/1998
11/2/1998
3/1/1999
5/3/1999
8/2/1999
10/21/1999
2/29/2000
5/1/2000
8/1/2000
10/31/2000
3/6/2001
5/8/2001
8/7/2001
11/6/2001
3/5/2002
5/7/2002
8/6/2002
11/5/2002
3/4/2003
5/6/2003
8/5/2003
11/4/2003
3/2/2004
4/27/2004
7/27/2004
10/26/2004
3/1/2005
5/3/2005
7/26/2005
10/25/2005
2/22/2006
4/27/2006
7/27/2006
11/2/2006
2/21/2007
5/8/2007
8/7/2007
11/1/2007
2/25/2008
5/6/2008
8/5/2008
11/5/2008
2/24/2009
5/4/2009
8/4/2009
11/4/2009
2/23/2010
5/4/2010
8/2/2010
10/29/2010
2/22/2011
5/3/2011
8/2/2011
11/1/2011
2/15/2012
5/8/2012
8/2/2012
11/7/2012
2/13/2013
5/7/2013
8/6/2013
11/5/2013
2/11/2014
5/6/2014
8/4/2014
11/6/2014
2/11/2015
5/4/2015
7/29/2015
11/04/2015
02/10/2016
05/03/2016
08/04/2016
11/02/2016
02/21/2017
05/02/2017
