BRLI
LATEST_ANNOUNCEMENT_DT
6/14/1996
9/12/1996
1/30/1997
3/17/1997
6/16/1997
9/15/1997
2/12/1998
3/19/1998
6/19/1998
9/18/1998
2/11/1999
3/22/1999
6/21/1999
9/17/1999
1/31/2000
3/16/2000
6/14/2000
9/15/2000
1/31/2001
3/15/2001
6/14/2001
9/11/2001
1/24/2002
3/7/2002
5/30/2002
9/5/2002
1/9/2003
3/6/2003
6/5/2003
9/4/2003
1/8/2004
3/4/2004
6/3/2004
9/9/2004
1/6/2005
3/3/2005
6/2/2005
9/7/2005
1/5/2006
3/9/2006
6/8/2006
8/29/2006
12/19/2006
3/8/2007
6/7/2007
9/6/2007
12/20/2007
3/6/2008
6/5/2008
9/4/2008
12/18/2008
3/5/2009
6/4/2009
9/2/2009
12/17/2009
3/4/2010
5/27/2010
8/26/2010
12/16/2010
3/3/2011
5/26/2011
8/25/2011
12/8/2011
3/1/2012
6/7/2012
8/30/2012
12/6/2012
2/28/2013
6/6/2013
8/29/2013
12/19/2013
3/4/2014
6/5/2014
8/27/2014
12/18/2014
3/5/2015
6/8/2015
