OXM
LATEST_ANNOUNCEMENT_DT
3/26/1996
7/15/1996
9/23/1996
12/19/1996
3/24/1997
7/14/1997
9/22/1997
12/17/1997
3/23/1998
7/13/1998
9/21/1998
12/21/1998
3/22/1999
7/12/1999
9/20/1999
12/20/1999
3/20/2000
7/17/2000
9/25/2000
12/20/2000
3/26/2001
7/16/2001
9/24/2001
1/10/2002
3/25/2002
7/15/2002
9/23/2002
12/19/2002
4/3/2003
7/17/2003
10/2/2003
1/7/2004
4/1/2004
7/28/2004
9/30/2004
1/4/2005
3/30/2005
8/4/2005
10/6/2005
1/10/2006
4/5/2006
8/8/2006
10/4/2006
1/9/2007
4/2/2007
7/31/2007
10/9/2007
1/8/2008
6/10/2008
9/9/2008
12/9/2008
3/30/2009
6/9/2009
9/2/2009
12/9/2009
3/29/2010
6/8/2010
9/1/2010
12/8/2010
3/29/2011
6/7/2011
8/31/2011
12/6/2011
3/27/2012
6/5/2012
8/29/2012
12/4/2012
4/2/2013
6/11/2013
9/10/2013
12/11/2013
3/27/2014
6/10/2014
9/9/2014
12/10/2014
3/26/2015
6/9/2015
9/2/2015
12/8/2015
3/23/2016
06/07/2016
08/31/2016
12/06/2016
03/22/2017
