SFSK
LATEST_ANNOUNCEMENT_DT
5/1/1996
7/31/1996
10/30/1996
2/20/1997
4/23/1997
7/30/1997
10/22/1997
2/18/1998
5/7/1998
7/22/1998
10/28/1998
2/10/1999
4/21/1999
7/28/1999
10/27/1999
