CHTT
LATEST_ANNOUNCEMENT_DT
4/1/1996
6/20/1996
9/17/1996
1/17/1997
4/2/1997
6/19/1997
9/10/1997
1/21/1998
3/31/1998
6/30/1998
10/2/1998
1/22/1999
3/25/1999
6/28/1999
10/11/1999
1/24/2000
3/27/2000
6/29/2000
9/25/2000
1/25/2001
3/22/2001
6/21/2001
9/19/2001
1/24/2002
3/26/2002
6/17/2002
9/26/2002
1/23/2003
3/20/2003
6/19/2003
9/18/2003
1/22/2004
3/18/2004
6/17/2004
9/16/2004
1/20/2005
3/23/2005
6/16/2005
9/19/2005
2/8/2006
4/5/2006
7/10/2006
10/10/2006
2/12/2007
3/22/2007
7/10/2007
9/27/2007
1/29/2008
4/8/2008
7/10/2008
9/25/2008
1/29/2009
4/7/2009
7/9/2009
10/6/2009
1/28/2010
