LUB
LATEST_ANNOUNCEMENT_DT
3/11/1996
6/12/1996
10/3/1996
12/12/1996
3/17/1997
6/12/1997
10/8/1997
12/11/1997
3/12/1998
6/11/1998
10/8/1998
12/11/1998
3/12/1999
6/11/1999
10/5/1999
12/13/1999
3/10/2000
6/12/2000
10/11/2000
12/12/2000
3/27/2001
6/19/2001
10/16/2001
12/12/2001
3/7/2002
5/30/2002
11/5/2002
12/17/2002
3/31/2003
6/16/2003
11/13/2003
12/30/2003
3/11/2004
6/10/2004
11/5/2004
12/30/2004
3/29/2005
6/9/2005
10/18/2005
12/29/2005
3/27/2006
6/8/2006
10/12/2006
12/19/2006
3/20/2007
6/11/2007
10/18/2007
12/27/2007
3/20/2008
6/10/2008
10/21/2008
12/17/2008
3/18/2009
6/10/2009
10/15/2009
12/17/2009
3/17/2010
6/9/2010
10/28/2010
12/16/2010
3/21/2012
6/8/2011
11/9/2011
12/22/2011
3/21/2012
6/15/2012
11/7/2012
12/19/2012
3/20/2013
6/12/2013
11/6/2013
12/19/2013
3/24/2014
6/12/2014
11/10/2014
12/17/2014
3/23/2015
6/10/2015
10/28/2015
1/21/2016
4/13/2016
