943454Q
LATEST_ANNOUNCEMENT_DT
4/22/1996
7/25/1996
10/24/1996
3/19/1997
4/30/1997
7/25/1997
10/24/1997
3/9/1998
4/27/1998
7/24/1998
10/23/1998
3/2/1999
4/22/1999
7/21/1999
10/19/1999
2/17/2000
4/25/2000
7/26/2000
10/25/2000
2/21/2001
4/25/2001
7/24/2001
10/24/2001
2/20/2002
4/24/2002
7/30/2002
11/19/2002
