AEL
LATEST_ANNOUNCEMENT_DT
8/11/1999
5/12/2000
8/14/2000
11/13/2000
5/14/2001
8/13/2001
11/14/2001
5/10/2002
8/1/2002
10/29/2002
5/1/2003
8/14/2003
11/14/2003
3/1/2004
4/26/2004
7/30/2004
11/8/2004
2/23/2005
5/9/2005
8/3/2005
11/1/2005
2/22/2006
5/2/2006
8/2/2006
10/31/2006
2/21/2007
5/2/2007
8/1/2007
10/31/2007
2/20/2008
5/7/2008
7/30/2008
11/5/2008
3/16/2009
5/6/2009
8/4/2009
11/4/2009
2/24/2010
5/5/2010
8/4/2010
11/8/2010
2/23/2011
5/4/2011
8/3/2011
11/2/2011
2/22/2012
5/2/2012
8/2/2012
11/6/2012
2/20/2013
5/1/2013
7/31/2013
11/4/2013
2/12/2014
4/30/2014
7/30/2014
11/6/2014
2/12/2015
4/29/2015
7/29/2015
11/4/2015
2/10/2016
04/27/2016
08/03/2016
11/02/2016
02/08/2017
04/26/2017
