MLI
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/18/1996
10/16/1996
2/11/1997
4/17/1997
7/17/1997
10/14/1997
2/10/1998
4/15/1998
7/16/1998
10/12/1998
2/9/1999
4/14/1999
7/13/1999
10/12/1999
2/8/2000
4/11/2000
7/11/2000
10/10/2000
2/13/2001
4/17/2001
7/17/2001
10/16/2001
2/7/2002
4/16/2002
7/16/2002
10/15/2002
2/4/2003
4/29/2003
7/15/2003
10/14/2003
2/3/2004
4/13/2004
7/13/2004
10/14/2004
2/23/2005
4/21/2005
7/21/2005
10/20/2005
2/14/2006
4/25/2006
7/25/2006
10/24/2006
2/6/2007
4/24/2007
7/24/2007
10/23/2007
2/5/2008
4/22/2008
7/22/2008
10/21/2008
2/5/2009
4/21/2009
7/21/2009
10/20/2009
2/2/2010
4/20/2010
7/20/2010
10/19/2010
2/1/2011
4/26/2011
7/26/2011
10/25/2011
2/7/2012
4/24/2012
7/24/2012
10/23/2012
2/5/2013
4/23/2013
7/23/2013
10/22/2013
2/5/2014
4/22/2014
7/22/2014
10/21/2014
2/3/2015
4/21/2015
7/21/2015
10/20/2015
2/2/2016
