KIDEQ
LATEST_ANNOUNCEMENT_DT
5/15/1996
8/14/1996
11/15/1996
3/21/1997
5/15/1997
8/14/1997
11/13/1997
3/31/1998
5/15/1998
8/13/1998
11/13/1998
3/29/1999
5/17/1999
8/12/1999
11/15/1999
3/28/2000
5/15/2000
8/14/2000
11/14/2000
3/29/2001
5/15/2001
8/14/2001
11/14/2001
4/1/2002
5/15/2002
8/14/2002
11/14/2002
3/28/2003
5/14/2003
8/13/2003
11/13/2003
3/15/2004
5/10/2004
8/9/2004
11/9/2004
3/16/2005
5/10/2005
8/9/2005
11/9/2005
3/15/2006
5/10/2006
8/9/2006
11/9/2006
3/16/2007
5/10/2007
8/9/2007
11/9/2007
3/13/2008
5/12/2008
8/11/2008
11/10/2008
3/16/2009
5/11/2009
8/10/2009
11/9/2009
3/16/2010
5/10/2010
8/16/2010
11/15/2010
3/31/2011
5/16/2011
8/16/2011
11/15/2011
3/23/2012
5/16/2012
8/15/2012
11/13/2012
