ARJ
LATEST_ANNOUNCEMENT_DT
3/31/1999
6/30/1999
9/30/1999
1/27/2000
4/27/2000
7/31/2000
10/26/2000
1/29/2001
4/30/2001
7/27/2001
10/31/2001
1/31/2002
4/30/2002
7/30/2002
10/29/2002
2/3/2003
5/2/2003
7/31/2003
10/28/2003
2/10/2004
4/30/2004
7/27/2004
11/2/2004
2/11/2005
5/3/2005
8/8/2005
10/31/2005
2/9/2006
5/2/2006
8/1/2006
10/30/2006
2/12/2007
5/1/2007
7/31/2007
11/2/2007
2/7/2008
5/6/2008
7/31/2008
11/10/2008
2/4/2009
5/5/2009
7/30/2009
11/4/2009
2/4/2010
5/6/2010
8/4/2010
11/2/2010
2/3/2011
5/4/2011
8/5/2011
