VTS
LATEST_ANNOUNCEMENT_DT
5/28/1996
12/11/1996
3/11/1997
6/10/1997
9/24/1997
12/9/1997
3/11/1998
5/28/1998
9/14/1998
11/30/1998
3/2/1999
5/26/1999
9/9/1999
11/29/1999
3/14/2000
5/25/2000
9/13/2000
11/27/2000
2/27/2001
5/23/2001
9/5/2001
11/26/2001
2/27/2002
5/22/2002
9/4/2002
11/26/2002
2/26/2003
5/28/2003
9/3/2003
11/24/2003
3/15/2004
5/26/2004
3/30/2005
12/15/2004
3/30/2005
6/20/2005
10/12/2005
12/7/2005
3/8/2006
6/6/2006
10/4/2006
12/6/2006
