NDSN
LATEST_ANNOUNCEMENT_DT
4/29/1990
7/29/1990
10/28/1990
2/3/1991
5/5/1991
8/4/1991
11/3/1991
2/2/1992
5/3/1992
8/2/1992
11/1/1992
1/31/1993
5/25/1993
8/19/1993
12/8/1993
2/23/1994
5/20/1994
8/22/1994
12/8/1994
2/22/1995
5/23/1995
8/23/1995
12/6/1995
2/21/1996
5/22/1996
8/21/1996
12/10/1996
2/26/1997
5/28/1997
8/27/1997
12/9/1997
2/25/1998
5/27/1998
8/26/1998
12/9/1998
2/23/1999
5/26/1999
8/25/1999
12/8/1999
2/24/2000
5/24/2000
8/23/2000
12/7/2000
2/21/2001
5/23/2001
8/22/2001
12/6/2001
2/20/2002
5/23/2002
8/21/2002
12/11/2002
2/26/2003
5/28/2003
8/27/2003
12/11/2003
2/25/2004
5/26/2004
8/25/2004
12/8/2004
2/22/2005
5/24/2005
8/23/2005
12/13/2005
2/27/2006
5/25/2006
8/23/2006
12/19/2006
2/27/2007
5/24/2007
8/23/2007
12/18/2007
2/21/2008
5/21/2008
8/21/2008
12/17/2008
2/19/2009
5/21/2009
8/20/2009
12/16/2009
2/22/2010
5/20/2010
8/19/2010
12/15/2010
2/22/2011
5/19/2011
8/18/2011
12/14/2011
2/23/2012
5/21/2012
8/20/2012
12/13/2012
2/21/2013
5/23/2013
8/22/2013
12/11/2013
2/25/2014
5/22/2014
8/21/2014
12/11/2014
2/24/2015
5/19/2015
8/20/2015
12/10/2015
02/22/2016
05/23/2016
08/22/2016
12/13/2016
02/20/2017
05/22/2017
