FUL
LATEST_ANNOUNCEMENT_DT
3/28/1996
6/27/1996
9/26/1996
1/13/1997
3/26/1997
6/25/1997
9/23/1997
1/12/1998
3/24/1998
6/23/1998
9/22/1998
1/11/1999
3/23/1999
6/22/1999
9/21/1999
1/13/2000
3/21/2000
6/20/2000
9/19/2000
1/16/2001
3/27/2001
6/26/2001
9/25/2001
1/14/2002
3/27/2002
6/25/2002
9/24/2002
1/14/2003
3/25/2003
6/24/2003
9/23/2003
1/13/2004
3/23/2004
6/22/2004
9/21/2004
2/10/2005
3/22/2005
6/21/2005
9/20/2005
1/18/2006
3/28/2006
6/27/2006
9/26/2006
2/15/2007
3/27/2007
6/26/2007
9/25/2007
1/15/2008
3/31/2008
6/24/2008
9/23/2008
1/19/2009
3/31/2009
6/23/2009
9/22/2009
1/12/2010
3/30/2010
6/22/2010
9/13/2010
1/11/2011
3/23/2011
6/22/2011
9/21/2011
1/18/2012
3/28/2012
6/25/2012
9/26/2012
1/16/2013
3/27/2013
6/26/2013
9/25/2013
1/15/2014
3/26/2014
6/25/2014
9/24/2014
1/14/2015
3/25/2015
6/24/2015
9/23/2015
1/13/2016
3/23/2016
06/22/2016
09/21/2016
01/18/2017
03/22/2017
