CNW
LATEST_ANNOUNCEMENT_DT
3/25/1992
3/26/1993
4/22/1992
7/24/1992
10/21/1992
1/25/1993
4/22/1993
7/20/1993
10/19/1993
1/31/1994
4/19/1994
7/20/1994
10/24/1994
1/30/1995
4/19/1995
7/24/1995
10/17/1995
1/29/1996
4/23/1996
7/18/1996
10/17/1996
1/30/1997
4/21/1997
7/22/1997
10/20/1997
1/27/1998
4/20/1998
7/20/1998
10/19/1998
1/25/1999
4/19/1999
7/19/1999
10/20/1999
1/31/2000
4/19/2000
7/19/2000
10/18/2000
1/29/2001
4/18/2001
7/18/2001
10/17/2001
1/28/2002
4/18/2002
7/17/2002
10/21/2002
1/27/2003
4/21/2003
7/21/2003
10/20/2003
1/26/2004
4/19/2004
7/20/2004
10/25/2004
1/24/2005
4/20/2005
7/19/2005
10/19/2005
1/24/2006
4/24/2006
7/18/2006
10/17/2006
1/29/2007
4/16/2007
7/18/2007
10/23/2007
1/28/2008
4/16/2008
7/23/2008
10/22/2008
1/26/2009
4/23/2009
7/23/2009
11/3/2009
2/4/2010
5/5/2010
8/4/2010
11/3/2010
2/2/2011
5/4/2011
8/4/2011
11/3/2011
2/2/2012
5/1/2012
7/31/2012
10/31/2012
2/6/2013
5/1/2013
7/31/2013
10/30/2013
2/5/2014
4/30/2014
7/30/2014
10/29/2014
2/4/2015
4/29/2015
7/29/2015
10/28/2015
