GTATQ
LATEST_ANNOUNCEMENT_DT
8/26/2008
11/6/2008
2/3/2009
5/12/2009
8/4/2009
11/9/2009
2/2/2010
5/19/2010
8/4/2010
11/5/2010
2/2/2011
5/23/2011
5/16/2012
8/1/2012
11/6/2012
2/27/2013
5/1/2013
8/5/2013
11/4/2013
2/24/2014
5/7/2014
8/4/2014
