ACF
LATEST_ANNOUNCEMENT_DT
4/15/1996
8/7/1996
10/15/1996
1/15/1997
4/16/1997
8/6/1997
10/14/1997
1/14/1998
4/15/1998
8/4/1998
10/14/1998
1/14/1999
4/14/1999
8/4/1999
10/13/1999
1/13/2000
4/13/2000
8/3/2000
10/11/2000
1/10/2001
4/11/2001
8/7/2001
10/10/2001
1/10/2002
4/15/2002
8/6/2002
10/15/2002
1/16/2003
4/23/2003
8/25/2003
10/23/2003
1/22/2004
4/22/2004
8/9/2004
10/21/2004
1/24/2005
4/25/2005
8/8/2005
10/24/2005
1/23/2006
4/24/2006
8/7/2006
10/24/2006
1/24/2007
4/30/2007
8/8/2007
10/24/2007
1/22/2008
4/24/2008
8/6/2008
10/27/2008
1/29/2009
4/23/2009
8/5/2009
10/21/2009
1/27/2010
4/21/2010
8/3/2010
5/6/2011
8/5/2011
11/9/2011
2/27/2012
5/3/2012
8/3/2012
10/31/2012
2/15/2013
5/2/2013
7/30/2013
10/30/2013
2/6/2014
4/24/2014
7/24/2014
10/23/2014
2/4/2015
4/23/2015
7/23/2015
10/21/2015
2/3/2016
