RJETQ
LATEST_ANNOUNCEMENT_DT
5/27/2004
7/26/2004
10/19/2004
3/3/2005
4/22/2005
7/27/2005
10/26/2005
2/16/2006
4/26/2006
8/1/2006
10/25/2006
2/14/2007
4/25/2007
7/30/2007
10/24/2007
2/6/2008
4/23/2008
8/6/2008
10/29/2008
2/17/2009
5/4/2009
7/29/2009
11/4/2009
2/24/2010
5/4/2010
8/3/2010
11/8/2010
2/22/2011
5/2/2011
8/1/2011
11/7/2011
2/29/2012
4/25/2012
7/31/2012
10/31/2012
2/27/2013
4/29/2013
7/25/2013
11/6/2013
2/26/2014
4/30/2014
8/6/2014
10/28/2014
2/24/2015
5/7/2015
8/6/2015
11/4/2015
3/11/2016
