ARQL
LATEST_ANNOUNCEMENT_DT
3/31/1996
6/30/1996
12/16/1996
2/14/1997
4/17/1997
7/17/1997
10/15/1997
2/18/1998
4/15/1998
7/15/1998
10/15/1998
2/25/1999
4/21/1999
7/21/1999
10/18/1999
2/16/2000
4/20/2000
7/19/2000
10/12/2000
1/24/2001
4/19/2001
7/17/2001
10/18/2001
1/22/2002
4/23/2002
7/18/2002
10/17/2002
2/13/2003
4/16/2003
7/24/2003
10/23/2003
2/12/2004
4/21/2004
7/23/2004
10/28/2004
2/10/2005
4/21/2005
7/28/2005
10/27/2005
2/9/2006
4/27/2006
7/27/2006
10/26/2006
2/8/2007
5/3/2007
8/2/2007
11/1/2007
2/7/2008
5/12/2008
8/11/2008
11/10/2008
3/5/2009
5/7/2009
8/6/2009
11/5/2009
3/2/2010
5/6/2010
8/4/2010
11/9/2010
3/1/2011
5/5/2011
8/4/2011
11/4/2011
3/1/2012
5/3/2012
8/2/2012
11/1/2012
3/14/2013
5/8/2013
7/30/2013
11/7/2013
3/5/2014
5/7/2014
8/5/2014
11/10/2014
3/4/2015
5/6/2015
8/5/2015
11/4/2015
2/29/2016
