NSP
LATEST_ANNOUNCEMENT_DT
4/24/1997
7/24/1997
10/23/1997
2/24/1998
4/28/1998
7/27/1998
11/2/1998
2/24/1999
4/21/1999
8/3/1999
11/3/1999
2/15/2000
5/1/2000
8/1/2000
11/1/2000
2/20/2001
5/2/2001
8/1/2001
11/5/2001
2/19/2002
5/1/2002
8/1/2002
11/4/2002
2/20/2003
5/1/2003
8/1/2003
11/3/2003
2/9/2004
5/3/2004
8/2/2004
11/1/2004
2/16/2005
5/2/2005
8/1/2005
11/1/2005
2/16/2006
5/2/2006
8/1/2006
11/1/2006
2/12/2007
5/1/2007
8/1/2007
11/1/2007
2/7/2008
5/1/2008
8/1/2008
11/3/2008
2/9/2009
5/4/2009
8/3/2009
11/2/2009
2/11/2010
5/3/2010
8/2/2010
11/1/2010
2/14/2011
5/2/2011
8/1/2011
11/1/2011
2/14/2012
4/30/2012
7/31/2012
11/1/2012
2/8/2013
4/29/2013
8/1/2013
11/1/2013
2/10/2014
5/2/2014
8/1/2014
11/3/2014
2/10/2015
5/1/2015
8/3/2015
11/2/2015
2/12/2016
05/02/2016
08/01/2016
11/01/2016
02/13/2017
05/01/2017
