STXN
LATEST_ANNOUNCEMENT_DT
4/23/1996
7/18/1996
10/16/1996
1/15/1997
4/23/1997
7/17/1997
10/15/1997
1/14/1998
4/22/1998
7/15/1998
10/14/1998
1/19/1999
4/21/1999
7/14/1999
10/18/1999
1/19/2000
4/26/2000
7/18/2000
10/17/2000
1/17/2001
4/24/2001
7/24/2001
10/17/2001
1/16/2002
4/24/2002
7/24/2002
10/17/2002
1/22/2003
4/29/2003
7/23/2003
10/22/2003
1/21/2004
4/28/2004
7/21/2004
10/25/2004
1/27/2005
5/9/2005
8/3/2005
11/2/2005
2/2/2006
5/18/2006
8/2/2006
11/1/2006
