DRS
LATEST_ANNOUNCEMENT_DT
5/30/1996
8/7/1996
10/31/1996
2/4/1997
5/21/1997
8/6/1997
11/4/1997
2/12/1998
5/21/1998
8/5/1998
11/5/1998
2/10/1999
5/11/1999
8/5/1999
11/4/1999
2/10/2000
5/19/2000
8/8/2000
11/8/2000
2/7/2001
5/21/2001
8/8/2001
11/6/2001
2/7/2002
5/20/2002
8/8/2002
11/6/2002
2/11/2003
5/14/2003
8/5/2003
11/7/2003
2/12/2004
5/14/2004
8/9/2004
11/5/2004
2/9/2005
5/13/2005
8/4/2005
11/4/2005
2/9/2006
5/12/2006
8/3/2006
10/24/2006
2/9/2007
5/11/2007
8/9/2007
11/9/2007
2/8/2008
5/30/2008
8/8/2008
11/7/2008
