IPXL
LATEST_ANNOUNCEMENT_DT
5/8/1996
8/13/1996
10/28/1996
3/20/1997
5/12/1997
8/19/1997
11/6/1997
2/2/1998
4/21/1998
7/23/1998
10/22/1998
2/5/1999
4/28/1999
7/27/1999
10/28/1999
2/17/2000
5/2/2000
7/31/2000
10/31/2000
4/2/2001
5/7/2001
7/31/2001
10/30/2001
2/7/2002
4/30/2002
7/25/2002
10/28/2002
2/12/2003
4/30/2003
7/28/2003
11/4/2003
2/17/2004
5/5/2004
8/4/2004
11/8/2004
12/3/2008
2/26/2009
5/5/2009
8/4/2009
11/3/2009
2/25/2010
5/4/2010
8/3/2010
11/2/2010
2/24/2011
5/3/2011
8/2/2011
11/1/2011
2/28/2012
5/1/2012
7/31/2012
10/30/2012
2/25/2013
5/1/2013
8/8/2013
11/4/2013
2/20/2014
5/1/2014
8/6/2014
11/4/2014
2/24/2015
5/11/2015
8/10/2015
11/9/2015
2/22/2016
05/10/2016
08/09/2016
11/09/2016
03/01/2017
05/09/2017
