PRMA
LATEST_ANNOUNCEMENT_DT
4/16/1996
7/25/1996
10/17/1996
1/30/1997
4/22/1997
7/16/1997
10/20/1997
1/30/1998
4/20/1998
7/22/1998
10/16/1998
2/4/1999
