NAPS
LATEST_ANNOUNCEMENT_DT
5/16/2001
7/25/2001
10/24/2001
1/23/2002
5/1/2002
7/24/2002
10/23/2002
1/22/2003
5/21/2003
7/31/2003
10/22/2003
2/4/2004
5/5/2004
8/9/2004
11/3/2004
2/9/2005
5/11/2005
8/3/2005
11/2/2005
2/8/2006
5/17/2006
8/2/2006
11/8/2006
2/8/2007
5/16/2007
8/1/2007
11/1/2007
2/6/2008
5/21/2008
8/11/2008
