OIS
LATEST_ANNOUNCEMENT_DT
5/2/2001
8/6/2001
11/1/2001
2/4/2002
4/30/2002
7/24/2002
10/23/2002
2/3/2003
4/28/2003
7/28/2003
10/27/2003
2/2/2004
4/28/2004
8/2/2004
11/1/2004
2/8/2005
4/27/2005
8/1/2005
10/31/2005
2/7/2006
5/3/2006
8/2/2006
10/30/2006
2/7/2007
5/1/2007
7/31/2007
11/1/2007
2/19/2008
4/29/2008
7/31/2008
10/29/2008
2/19/2009
5/7/2009
7/29/2009
11/3/2009
2/22/2010
4/28/2010
8/3/2010
11/4/2010
2/17/2011
4/27/2011
8/1/2011
11/3/2011
2/16/2012
4/26/2012
7/31/2012
10/31/2012
2/19/2013
4/24/2013
7/30/2013
10/30/2013
2/19/2014
5/1/2014
7/31/2014
10/30/2014
2/18/2015
4/29/2015
7/28/2015
10/29/2015
2/17/2016
04/27/2016
07/26/2016
10/27/2016
02/15/2017
04/26/2017
