ARO
LATEST_ANNOUNCEMENT_DT
11/21/2001
8/3/2002
6/17/2002
8/20/2002
11/21/2002
3/13/2003
5/22/2003
8/21/2003
11/20/2003
3/11/2004
5/20/2004
8/19/2004
11/18/2004
3/10/2005
5/19/2005
8/18/2005
11/17/2005
3/9/2006
5/18/2006
8/17/2006
11/29/2006
3/15/2007
5/24/2007
8/23/2007
11/28/2007
3/13/2008
5/22/2008
8/21/2008
12/3/2008
3/12/2009
5/21/2009
8/20/2009
12/2/2009
3/11/2010
5/20/2010
8/19/2010
12/1/2010
3/10/2011
5/19/2011
8/18/2011
11/30/2011
3/8/2012
5/17/2012
8/16/2012
11/28/2012
3/14/2013
5/23/2013
8/22/2013
12/4/2013
3/13/2014
5/22/2014
8/21/2014
12/3/2014
3/12/2015
5/21/2015
8/27/2015
12/2/2015
3/17/2016
