GTRC
LATEST_ANNOUNCEMENT_DT
4/29/1997
7/28/1997
10/29/1997
2/11/1998
4/23/1998
7/28/1998
10/27/1998
2/11/1999
4/27/1999
8/5/1999
11/1/1999
2/9/2000
4/24/2000
7/24/2000
10/27/2000
2/12/2001
5/2/2001
7/31/2001
10/30/2001
2/13/2002
4/25/2002
7/25/2002
10/29/2002
2/12/2003
4/24/2003
7/29/2003
10/30/2003
1/29/2004
4/27/2004
7/28/2004
10/26/2004
2/9/2005
4/28/2005
7/26/2005
10/26/2005
2/15/2006
4/27/2006
8/1/2006
11/1/2006
2/26/2007
5/7/2007
8/7/2007
8/29/2011
11/7/2011
11/14/2011
8/29/2011
8/29/2011
11/7/2011
11/14/2011
3/27/2012
5/14/2012
8/13/2012
11/13/2012
3/26/2013
5/13/2013
8/13/2013
11/14/2013
