DXLG
LATEST_ANNOUNCEMENT_DT
5/20/1996
8/19/1996
11/18/1996
3/10/1997
5/19/1997
8/18/1997
11/24/1997
3/23/1998
5/19/1998
8/17/1998
11/16/1998
3/22/1999
5/17/1999
8/16/1999
11/24/1999
4/3/2000
5/15/2000
8/14/2000
11/13/2000
4/4/2001
5/25/2001
8/21/2001
11/19/2001
3/25/2002
5/23/2002
8/23/2002
11/21/2002
3/27/2003
5/22/2003
8/21/2003
11/20/2003
3/25/2004
5/20/2004
8/19/2004
11/18/2004
3/31/2005
5/19/2005
8/18/2005
11/17/2005
3/30/2006
5/18/2006
8/18/2006
11/16/2006
3/29/2007
5/24/2007
8/23/2007
11/27/2007
3/25/2008
5/22/2008
8/21/2008
11/20/2008
3/19/2009
5/21/2009
8/25/2009
11/19/2009
3/18/2010
5/20/2010
8/19/2010
11/18/2010
3/17/2011
5/19/2011
8/18/2011
11/17/2011
3/15/2012
5/18/2012
8/17/2012
11/16/2012
3/15/2013
5/24/2013
8/23/2013
11/22/2013
3/14/2014
5/29/2014
8/28/2014
11/21/2014
3/25/2015
5/29/2015
8/27/2015
11/20/2015
3/18/2016
