CATY
LATEST_ANNOUNCEMENT_DT
5/3/1993
8/17/1993
11/3/1993
2/3/1994
4/21/1994
7/22/1994
11/14/1994
1/31/1995
4/26/1995
7/24/1995
11/7/1995
1/29/1996
5/1/1996
7/25/1996
10/18/1996
1/30/1997
4/16/1997
7/18/1997
10/16/1997
1/20/1998
4/15/1998
7/15/1998
10/15/1998
1/19/1999
4/16/1999
7/15/1999
10/14/1999
1/18/2000
4/14/2000
7/17/2000
10/17/2000
1/16/2001
4/16/2001
7/16/2001
10/15/2001
1/16/2002
4/15/2002
7/15/2002
10/15/2002
1/15/2003
4/15/2003
7/15/2003
10/15/2003
1/27/2004
4/15/2004
7/15/2004
10/21/2004
1/26/2005
4/21/2005
7/21/2005
10/20/2005
1/26/2006
4/20/2006
7/20/2006
10/19/2006
1/25/2007
4/26/2007
7/26/2007
10/25/2007
1/25/2008
4/17/2008
7/24/2008
10/23/2008
1/27/2009
4/23/2009
7/29/2009
10/8/2009
1/28/2010
4/28/2010
7/27/2010
10/26/2010
1/24/2011
4/20/2011
7/20/2011
10/19/2011
1/23/2012
4/17/2012
7/17/2012
10/16/2012
1/23/2013
4/16/2013
7/17/2013
10/21/2013
1/23/2014
4/16/2014
7/22/2014
10/21/2014
1/21/2015
4/22/2015
7/21/2015
10/20/2015
01/20/2016
04/20/2016
07/20/2016
10/19/2016
01/25/2017
04/19/2017
