DEPO
LATEST_ANNOUNCEMENT_DT
3/19/1998
5/15/1998
8/5/1998
11/2/1998
3/1/1999
4/28/1999
8/17/1999
11/3/1999
3/9/2000
5/16/2000
8/14/2000
11/15/2000
4/2/2001
5/15/2001
8/14/2001
11/14/2001
4/1/2002
5/16/2002
8/14/2002
11/14/2002
3/31/2003
5/15/2003
8/14/2003
11/14/2003
3/15/2004
5/10/2004
8/9/2004
11/9/2004
3/16/2005
5/10/2005
8/9/2005
11/9/2005
3/14/2006
5/10/2006
8/7/2006
11/9/2006
3/14/2007
5/8/2007
8/7/2007
11/1/2007
3/6/2008
5/1/2008
7/31/2008
10/30/2008
3/5/2009
5/4/2009
7/30/2009
10/29/2009
3/4/2010
4/29/2010
8/5/2010
11/1/2010
3/3/2011
5/5/2011
8/1/2011
11/1/2011
3/8/2012
5/8/2012
8/2/2012
11/5/2012
2/20/2013
5/8/2013
8/7/2013
11/5/2013
3/12/2014
5/8/2014
8/6/2014
11/5/2014
2/23/2015
5/11/2015
7/29/2015
11/9/2015
2/22/2016
05/05/2016
08/03/2016
11/07/2016
02/21/2017
05/04/2017
