JACK
LATEST_ANNOUNCEMENT_DT
5/1/1996
7/24/1996
11/6/1996
2/6/1997
5/8/1997
7/30/1997
11/4/1997
2/4/1998
5/6/1998
7/28/1998
11/4/1998
2/9/1999
5/3/1999
7/26/1999
11/8/1999
2/15/2000
5/9/2000
8/1/2000
11/6/2000
2/13/2001
5/8/2001
7/31/2001
11/7/2001
2/13/2002
5/8/2002
7/31/2002
11/13/2002
2/19/2003
5/14/2003
8/6/2003
11/12/2003
2/18/2004
5/12/2004
8/4/2004
11/17/2004
2/23/2005
5/18/2005
8/10/2005
11/30/2005
2/22/2006
5/16/2006
8/8/2006
11/21/2006
2/21/2007
5/16/2007
8/8/2007
11/16/2007
2/20/2008
5/14/2008
8/5/2008
11/18/2008
2/17/2009
5/13/2009
8/4/2009
11/18/2009
2/17/2010
5/12/2010
8/4/2010
11/22/2010
2/23/2011
5/18/2011
8/10/2011
11/23/2011
2/22/2012
5/16/2012
8/8/2012
11/19/2012
2/20/2013
5/15/2013
8/7/2013
11/20/2013
2/19/2014
5/14/2014
8/6/2014
11/18/2014
2/17/2015
5/13/2015
8/5/2015
11/17/2015
2/17/2016
05/11/2016
08/03/2016
11/21/2016
02/22/2017
05/10/2017
