DISH
LATEST_ANNOUNCEMENT_DT
8/15/1995
11/15/1995
3/1/1996
5/16/1996
8/12/1996
11/14/1996
3/31/1997
5/13/1997
8/11/1997
11/14/1997
3/20/1998
5/14/1998
8/6/1998
11/11/1998
3/18/1999
5/17/1999
8/9/1999
11/2/1999
3/13/2000
4/27/2000
8/1/2000
11/14/2000
3/13/2001
5/3/2001
7/19/2001
10/23/2001
2/28/2002
5/2/2002
8/15/2002
11/14/2002
3/4/2003
5/6/2003
8/13/2003
11/11/2003
3/26/2004
5/6/2004
8/9/2004
11/9/2004
3/16/2005
5/5/2005
8/9/2005
11/8/2005
3/15/2006
5/11/2006
8/9/2006
11/7/2006
3/1/2007
5/10/2007
8/10/2007
11/9/2007
2/26/2008
5/12/2008
8/4/2008
11/10/2008
2/26/2009
5/11/2009
8/10/2009
11/9/2009
3/1/2010
5/10/2010
8/9/2010
11/5/2010
2/24/2011
5/2/2011
8/9/2011
11/7/2011
2/23/2012
5/7/2012
8/8/2012
11/6/2012
2/20/2013
5/9/2013
8/6/2013
11/12/2013
2/21/2014
5/8/2014
8/6/2014
11/4/2014
2/23/2015
5/11/2015
8/5/2015
11/09/2015
02/18/2016
04/20/2016
07/21/2016
11/09/2016
02/22/2017
04/19/2017
