APMPQ
LATEST_ANNOUNCEMENT_DT
4/25/1996
7/18/1996
10/24/1996
1/22/1997
4/21/1997
7/14/1997
10/23/1997
1/12/1998
4/20/1998
7/23/1998
10/27/1998
1/21/1999
4/22/1999
7/22/1999
10/28/1999
