QSII
LATEST_ANNOUNCEMENT_DT
6/13/1996
8/8/1996
11/7/1996
2/12/1997
6/12/1997
8/12/1997
11/13/1997
2/10/1998
6/10/1998
8/12/1998
11/11/1998
2/10/1999
6/9/1999
8/11/1999
11/11/1999
1/27/2000
6/14/2000
8/4/2000
11/1/2000
1/30/2001
5/23/2001
7/23/2001
10/25/2001
1/24/2002
5/23/2002
7/25/2002
10/29/2002
1/23/2003
5/22/2003
7/28/2003
10/30/2003
2/2/2004
5/27/2004
8/3/2004
11/3/2004
2/7/2005
6/13/2005
8/3/2005
11/3/2005
2/9/2006
6/8/2006
8/3/2006
11/2/2006
2/5/2007
6/7/2007
8/6/2007
10/31/2007
2/5/2008
6/10/2008
8/7/2008
10/31/2008
1/29/2009
5/29/2009
7/30/2009
10/30/2009
1/28/2010
5/28/2010
7/30/2010
10/29/2010
1/28/2011
5/26/2011
7/28/2011
10/27/2011
1/26/2012
5/17/2012
7/26/2012
10/26/2012
1/24/2013
5/23/2013
7/25/2013
10/24/2013
1/23/2014
5/29/2014
7/24/2014
10/23/2014
1/22/2015
5/21/2015
7/23/2015
10/22/2015
1/28/2016
05/19/2016
07/28/2016
10/27/2016
01/25/2017
05/18/2017
