HCI
LATEST_ANNOUNCEMENT_DT
7/24/2008
8/29/2008
11/11/2008
3/10/2009
5/12/2009
8/11/2009
11/10/2009
3/9/2010
5/14/2010
8/10/2010
11/9/2010
3/8/2011
5/10/2011
8/4/2011
11/8/2011
3/8/2012
5/8/2012
8/1/2012
11/6/2012
3/5/2013
5/2/2013
8/1/2013
11/5/2013
3/4/2014
5/1/2014
8/5/2014
11/6/2014
3/5/2015
4/30/2015
8/4/2015
11/3/2015
3/3/2016
05/03/2016
08/02/2016
11/01/2016
