AMAG
LATEST_ANNOUNCEMENT_DT
4/17/1996
7/16/1996
11/6/1996
1/21/1997
4/15/1997
7/16/1997
11/7/1997
1/21/1998
4/22/1998
7/21/1998
11/5/1998
1/27/1999
4/23/1999
7/22/1999
11/9/1999
1/24/2000
4/20/2000
7/21/2000
11/16/2000
1/18/2001
4/18/2001
7/19/2001
11/15/2001
1/29/2002
4/18/2002
7/23/2002
11/22/2002
1/16/2003
4/17/2003
7/16/2003
11/12/2003
1/16/2004
4/16/2004
7/19/2004
11/10/2004
1/18/2005
4/19/2005
7/19/2005
11/16/2005
1/19/2006
4/20/2006
7/20/2006
11/20/2006
4/25/2007
8/8/2007
10/25/2007
2/21/2008
4/25/2008
7/29/2008
11/3/2008
2/27/2009
4/30/2009
7/29/2009
10/29/2009
2/26/2010
4/27/2010
7/28/2010
10/28/2010
2/25/2011
5/3/2011
7/26/2011
11/4/2011
3/5/2012
5/1/2012
7/26/2012
11/1/2012
3/1/2013
4/23/2013
8/1/2013
10/23/2013
2/6/2014
4/24/2014
7/29/2014
10/30/2014
2/9/2015
5/5/2015
7/23/2015
11/3/2015
2/17/2016
05/03/2016
08/09/2016
11/03/2016
02/15/2017
05/02/2017
