TG
LATEST_ANNOUNCEMENT_DT
4/15/1996
7/15/1996
10/11/1996
1/13/1997
4/11/1997
7/14/1997
10/13/1997
1/14/1998
4/13/1998
7/13/1998
10/12/1998
1/12/1999
4/12/1999
7/14/1999
10/15/1999
1/20/2000
4/18/2000
7/17/2000
10/23/2000
1/18/2001
4/18/2001
7/13/2001
10/15/2001
1/17/2002
4/16/2002
7/22/2002
10/15/2002
1/21/2003
4/21/2003
7/21/2003
10/21/2003
1/21/2004
4/21/2004
7/21/2004
10/20/2004
1/26/2005
4/20/2005
8/3/2005
11/2/2005
2/8/2006
5/3/2006
8/2/2006
11/7/2006
2/15/2007
5/3/2007
8/7/2007
11/5/2007
2/15/2008
5/5/2008
8/5/2008
11/4/2008
3/5/2009
5/6/2009
8/3/2009
11/2/2009
2/12/2010
5/4/2010
8/3/2010
11/2/2010
2/11/2011
5/4/2011
8/3/2011
11/2/2011
3/1/2012
5/3/2012
8/1/2012
11/1/2012
2/14/2013
5/2/2013
8/1/2013
11/4/2013
2/24/2014
4/30/2014
8/7/2014
11/6/2014
3/2/2015
5/4/2015
7/30/2015
11/9/2015
2/29/2016
5/3/2016
8/2/2016
