HWKN
LATEST_ANNOUNCEMENT_DT
5/28/1996
8/15/1996
12/11/1996
2/12/1997
5/14/1997
8/14/1997
12/4/1997
2/12/1998
5/13/1998
8/13/1998
12/10/1998
2/16/1999
5/17/1999
8/17/1999
12/9/1999
2/16/2000
5/15/2000
8/15/2000
12/4/2000
2/14/2001
5/15/2001
8/14/2001
12/12/2001
2/13/2002
6/27/2002
8/13/2002
11/13/2002
2/13/2003
6/18/2003
8/13/2003
11/13/2003
2/13/2004
6/9/2004
8/5/2004
11/8/2004
2/9/2005
7/1/2005
8/3/2005
11/8/2005
2/8/2006
6/15/2006
8/2/2006
11/8/2006
5/4/2007
6/14/2007
8/7/2007
11/8/2007
2/8/2008
6/12/2008
8/7/2008
11/6/2008
2/5/2009
6/4/2009
7/30/2009
10/27/2009
1/26/2010
6/1/2010
7/27/2010
10/27/2010
1/26/2011
6/7/2011
8/1/2011
10/26/2011
2/1/2012
5/30/2012
8/1/2012
10/30/2012
1/30/2013
5/29/2013
7/31/2013
10/30/2013
2/3/2014
5/28/2014
8/6/2014
10/29/2014
2/3/2015
5/27/2015
7/29/2015
10/28/2015
2/3/2016
6/1/2016
8/3/2016
