JCP
LATEST_ANNOUNCEMENT_DT
2/20/1992
2/25/1993
5/12/1992
8/11/1992
11/10/1992
2/25/1993
5/18/1993
8/17/1993
11/16/1993
2/24/1994
5/17/1994
8/16/1994
11/15/1994
2/23/1995
5/16/1995
8/15/1995
11/14/1995
2/22/1996
5/14/1996
8/13/1996
11/12/1996
2/20/1997
5/13/1997
8/12/1997
11/11/1997
2/26/1998
5/15/1998
8/18/1998
11/17/1998
2/25/1999
5/18/1999
8/17/1999
11/16/1999
2/24/2000
5/16/2000
8/15/2000
11/14/2000
2/22/2001
5/15/2001
8/14/2001
11/13/2001
2/21/2002
5/14/2002
8/13/2002
11/12/2002
2/20/2003
5/13/2003
8/12/2003
11/11/2003
2/26/2004
5/18/2004
8/17/2004
11/16/2004
2/24/2005
5/17/2005
8/16/2005
11/15/2005
2/16/2006
5/11/2006
8/10/2006
11/9/2006
2/22/2007
5/17/2007
8/16/2007
11/15/2007
2/21/2008
5/15/2008
8/15/2008
11/14/2008
2/20/2009
5/15/2009
8/14/2009
11/13/2009
2/19/2010
5/14/2010
8/13/2010
11/12/2010
2/25/2011
5/16/2011
8/12/2011
11/14/2011
2/24/2012
5/15/2012
8/10/2012
11/9/2012
2/27/2013
5/16/2013
8/20/2013
11/20/2013
2/26/2014
5/15/2014
8/14/2014
11/12/2014
2/26/2015
5/13/2015
8/14/2015
11/13/2015
02/26/2016
05/13/2016
08/12/2016
11/11/2016
02/24/2017
05/12/2017
