GLT
LATEST_ANNOUNCEMENT_DT
4/15/1996
7/16/1996
10/14/1996
1/27/1997
4/14/1997
7/16/1997
10/15/1997
1/26/1998
4/20/1998
7/17/1998
10/16/1998
1/29/1999
4/16/1999
7/16/1999
10/15/1999
2/7/2000
4/17/2000
7/19/2000
10/16/2000
2/2/2001
4/17/2001
7/18/2001
10/15/2001
2/5/2002
4/22/2002
7/29/2002
10/30/2002
2/6/2003
4/22/2003
7/23/2003
10/22/2003
2/6/2004
4/22/2004
7/22/2004
10/28/2004
2/16/2005
4/26/2005
8/9/2005
11/4/2005
2/14/2006
5/9/2006
8/8/2006
11/2/2006
2/15/2007
5/1/2007
8/7/2007
10/30/2007
2/19/2008
4/29/2008
8/5/2008
11/4/2008
2/12/2009
4/28/2009
8/4/2009
11/3/2009
2/11/2010
5/4/2010
8/3/2010
11/2/2010
2/11/2011
5/3/2011
8/2/2011
11/1/2011
2/7/2012
5/1/2012
7/31/2012
10/31/2012
2/7/2013
4/30/2013
7/30/2013
10/29/2013
2/13/2014
4/29/2014
7/29/2014
11/4/2014
2/5/2015
5/5/2015
8/4/2015
11/3/2015
2/9/2016
05/03/2016
08/02/2016
11/01/2016
02/07/2017
05/02/2017
