KSTN
LATEST_ANNOUNCEMENT_DT
4/18/1996
7/18/1996
10/18/1996
1/17/1997
4/18/1997
7/18/1997
10/17/1997
1/16/1998
4/17/1998
7/17/1998
10/16/1998
1/19/1999
4/19/1999
7/19/1999
10/18/1999
1/18/2000
4/18/2000
7/18/2000
