DRIV
LATEST_ANNOUNCEMENT_DT
10/20/1998
1/28/1999
4/22/1999
7/20/1999
10/25/1999
1/27/2000
4/27/2000
7/27/2000
10/19/2000
1/23/2001
4/25/2001
7/24/2001
10/24/2001
1/29/2002
4/24/2002
7/24/2002
10/23/2002
1/29/2003
4/23/2003
7/23/2003
10/22/2003
1/28/2004
4/19/2004
7/21/2004
10/20/2004
1/26/2005
4/27/2005
7/27/2005
10/26/2005
2/1/2006
4/27/2006
7/27/2006
10/26/2006
2/8/2007
4/26/2007
7/26/2007
10/25/2007
1/31/2008
5/1/2008
7/30/2008
10/28/2008
1/29/2009
4/29/2009
7/29/2009
11/3/2009
1/28/2010
4/29/2010
7/28/2010
10/25/2010
1/27/2011
4/28/2011
7/28/2011
10/27/2011
2/2/2012
5/3/2012
7/31/2012
11/1/2012
2/6/2013
5/2/2013
7/30/2013
10/30/2013
2/5/2014
4/30/2014
7/30/2014
10/29/2014
