TPX
LATEST_ANNOUNCEMENT_DT
2/13/2004
4/22/2004
7/22/2004
10/21/2004
1/27/2005
4/21/2005
7/21/2005
10/20/2005
1/26/2006
4/20/2006
7/20/2006
10/19/2006
1/25/2007
4/19/2007
7/19/2007
10/18/2007
1/24/2008
4/17/2008
7/17/2008
10/16/2008
1/22/2009
4/16/2009
7/16/2009
10/15/2009
1/26/2010
4/20/2010
7/20/2010
10/19/2010
1/20/2011
4/21/2011
7/26/2011
10/20/2011
1/24/2012
4/19/2012
7/24/2012
10/23/2012
1/24/2013
5/2/2013
7/25/2013
11/6/2013
2/6/2014
5/1/2014
7/24/2014
10/30/2014
2/5/2015
4/28/2015
7/30/2015
10/29/2015
02/04/2016
04/28/2016
07/28/2016
10/27/2016
02/16/2017
04/27/2017
