BMI
LATEST_ANNOUNCEMENT_DT
4/16/1996
7/16/1996
10/15/1996
1/30/1997
4/10/1997
7/15/1997
10/14/1997
1/28/1998
4/14/1998
7/14/1998
10/13/1998
1/28/1999
4/15/1999
7/15/1999
10/18/1999
2/1/2000
4/14/2000
7/18/2000
10/13/2000
1/31/2001
4/26/2001
7/17/2001
10/11/2001
1/31/2002
4/15/2002
7/19/2002
10/14/2002
2/3/2003
4/14/2003
7/16/2003
10/14/2003
2/5/2004
4/19/2004
7/16/2004
10/14/2004
2/3/2005
4/18/2005
7/19/2005
10/18/2005
2/6/2006
4/19/2006
7/20/2006
10/17/2006
2/6/2007
4/18/2007
7/18/2007
10/15/2007
2/4/2008
4/15/2008
7/21/2008
10/15/2008
2/4/2009
4/20/2009
7/16/2009
10/19/2009
2/4/2010
4/20/2010
7/21/2010
10/19/2010
2/7/2011
4/18/2011
7/20/2011
10/17/2011
2/6/2012
4/18/2012
7/19/2012
10/16/2012
2/6/2013
4/16/2013
7/18/2013
10/16/2013
2/5/2014
4/16/2014
7/18/2014
10/15/2014
2/5/2015
4/20/2015
7/20/2015
10/19/2015
2/4/2016
04/18/2016
07/20/2016
10/18/2016
02/06/2017
04/17/2017
