VASC
LATEST_ANNOUNCEMENT_DT
5/12/2000
8/2/2000
10/11/2000
1/10/2001
4/12/2001
7/19/2001
10/4/2001
1/29/2002
4/15/2002
7/15/2002
10/16/2002
1/23/2003
4/14/2003
7/15/2003
10/15/2003
1/28/2004
4/15/2004
7/22/2004
10/14/2004
1/27/2005
4/14/2005
7/21/2005
10/25/2005
1/26/2006
4/17/2006
7/20/2006
10/19/2006
1/29/2007
4/19/2007
7/19/2007
10/18/2007
2/4/2008
4/17/2008
7/23/2008
10/21/2008
2/3/2009
4/16/2009
7/22/2009
10/20/2009
2/2/2010
4/20/2010
7/22/2010
10/20/2010
2/1/2011
4/19/2011
8/2/2011
10/25/2011
2/1/2012
4/24/2012
7/24/2012
10/18/2012
2/5/2013
4/23/2013
7/23/2013
10/22/2013
2/4/2014
4/22/2014
7/22/2014
10/21/2014
2/3/2015
4/21/2015
7/21/2015
10/20/2015
1/21/2016
04/25/2016
07/25/2016
10/24/2016
02/23/2017
