BYD
LATEST_ANNOUNCEMENT_DT
4/23/1996
8/23/1996
5/1/1997
8/20/1997
10/23/1997
2/18/1998
7/22/1998
10/20/1998
2/16/1999
4/15/1999
7/21/1999
10/20/1999
2/24/2000
4/18/2000
7/19/2000
11/13/2000
2/16/2001
5/11/2001
8/9/2001
10/15/2001
2/7/2002
4/18/2002
7/17/2002
10/24/2002
2/13/2003
4/24/2003
7/30/2003
10/21/2003
2/4/2004
4/22/2004
7/28/2004
10/26/2004
2/9/2005
4/25/2005
7/26/2005
11/3/2005
2/9/2006
4/25/2006
7/25/2006
10/26/2006
2/20/2007
4/26/2007
8/1/2007
10/31/2007
2/27/2008
4/29/2008
8/1/2008
10/28/2008
2/26/2009
5/6/2009
8/5/2009
10/27/2009
3/2/2010
5/4/2010
8/3/2010
10/25/2010
3/1/2011
5/3/2011
7/27/2011
10/25/2011
2/21/2012
4/24/2012
7/24/2012
11/1/2012
3/4/2013
4/24/2013
7/30/2013
10/31/2013
3/5/2014
4/30/2014
7/31/2014
10/30/2014
2/12/2015
4/30/2015
7/23/2015
10/22/2015
2/16/2016
04/26/2016
08/03/2016
11/01/2016
02/14/2017
04/25/2017
