SIGM
LATEST_ANNOUNCEMENT_DT
5/20/1996
8/15/1996
11/14/1996
2/27/1997
5/22/1997
8/21/1997
11/24/1997
2/26/1998
5/21/1998
8/20/1998
11/23/1998
3/1/1999
5/24/1999
8/23/1999
11/15/1999
2/28/2000
5/22/2000
8/22/2000
11/13/2000
3/20/2001
5/29/2001
8/28/2001
11/27/2001
3/26/2002
5/28/2002
8/27/2002
11/26/2002
3/18/2003
5/27/2003
8/26/2003
11/25/2003
3/16/2004
5/25/2004
8/24/2004
11/23/2004
3/15/2005
5/24/2005
8/30/2005
11/22/2005
3/21/2006
5/31/2006
4/20/2007
11/28/2006
4/20/2007
6/4/2007
8/29/2007
11/28/2007
3/12/2008
5/29/2008
8/28/2008
12/2/2008
3/4/2009
5/27/2009
8/26/2009
12/2/2009
3/3/2010
5/26/2010
8/25/2010
12/1/2010
3/28/2011
5/25/2011
8/24/2011
11/30/2011
3/7/2012
5/23/2012
9/5/2012
12/5/2012
3/13/2013
6/12/2013
9/4/2013
12/11/2013
4/9/2014
6/11/2014
9/10/2014
12/10/2014
4/1/2015
6/9/2015
9/9/2015
12/8/2015
3/23/2016
