HAIN
LATEST_ANNOUNCEMENT_DT
5/9/1996
8/29/1996
11/15/1996
2/14/1997
5/15/1997
9/12/1997
10/29/1997
2/9/1998
5/12/1998
9/10/1998
11/12/1998
2/10/1999
5/12/1999
9/13/1999
11/11/1999
2/7/2000
5/9/2000
9/19/2000
11/10/2000
2/8/2001
5/14/2001
9/6/2001
11/5/2001
2/7/2002
5/7/2002
8/29/2002
11/5/2002
2/5/2003
5/6/2003
9/2/2003
10/30/2003
2/4/2004
5/7/2004
8/31/2004
11/3/2004
2/3/2005
5/4/2005
9/1/2005
11/3/2005
2/2/2006
5/3/2006
9/5/2006
11/2/2006
2/1/2007
5/3/2007
8/29/2007
11/1/2007
2/4/2008
5/5/2008
8/26/2008
11/3/2008
2/4/2009
5/4/2009
8/25/2009
11/5/2009
2/4/2010
5/5/2010
8/25/2010
11/4/2010
2/3/2011
5/3/2011
8/23/2011
11/1/2011
2/1/2012
5/3/2012
8/22/2012
11/1/2012
2/5/2013
5/2/2013
8/21/2013
11/5/2013
2/4/2014
5/8/2014
8/20/2014
11/6/2014
2/4/2015
5/6/2015
8/18/2015
11/5/2015
2/1/2016
05/04/2016
01/05/2017
03/13/2017
